node_id,label
5390880d20f70186a0d7d1d4,1736
5390881220f70186a0d7e29b,-1
5390893e20f70186a0d93019,1736
5390893e20f70186a0d943e4,348
53908a4020f70186a0d9d50d,2659
53908af920f70186a0daffb5,1367
53908b4920f70186a0dbb0f3,1650
53908b4920f70186a0dbc14b,1162
53908b6c20f70186a0dbd6f5,1039
5390958920f70186a0deefa0,-1
5390958a20f70186a0df0244,1424
539095bb20f70186a0df2eab,-1
5390962020f70186a0df49e7,1370
5390962020f70186a0df530a,2659
5390972920f70186a0dfae49,3226
5390972920f70186a0dfb721,2659
5390975920f70186a0dfc375,-1
5390979920f70186a0e00ae9,2659
5390980720f70186a0e01fbd,-1
5390980720f70186a0e0230d,1262
5390980720f70186a0e03329,1363
5390981d20f70186a0e05d46,1425
539098b820f70186a0e0bdf3,2092
539098dc20f70186a0e0c6ea,387
539098dc20f70186a0e0d038,387
539098dc20f70186a0e0d066,-1
539098dc20f70186a0e0d2e0,387
539098dc20f70186a0e0d302,387
539098dc20f70186a0e0d35f,-1
539098dd20f70186a0e0e3aa,-1
5390990f20f70186a0e0efbf,2370
5390990f20f70186a0e0fd72,-1
5390994d20f70186a0e12e58,2499
5390994d20f70186a0e13240,1731
5390995d20f70186a0e14b35,-1
539099a220f70186a0e181b5,-1
539099a220f70186a0e18432,-1
539099a220f70186a0e19042,2390
539099b320f70186a0e1958c,1162
539099b320f70186a0e19b0b,1491
53909a0220f70186a0e1fd03,387
53909a0220f70186a0e1fd44,387
53909a0220f70186a0e1fdd0,387
53909a0220f70186a0e1fe6d,387
53909a0320f70186a0e20587,1392
53909a9320f70186a0e22c38,-1
53909a9320f70186a0e23700,348
53909e8a20f70186a0e2cb9a,2658
53909e8a20f70186a0e2d72b,1422
53909e8a20f70186a0e2d733,-1
53909e8b20f70186a0e2defd,-1
53909e8b20f70186a0e2e76d,784
53909e8b20f70186a0e2e938,3044
53909e8b20f70186a0e2ed2f,1159
53909ed120f70186a0e2fc02,798
53909ed120f70186a0e303bb,984
53909ed120f70186a0e31192,796
53909ed120f70186a0e31302,794
53909ed120f70186a0e31320,3226
53909ed120f70186a0e3155a,1105
53909ee020f70186a0e31fd9,2370
53909ee020f70186a0e329f7,-1
53909eef20f70186a0e34cb2,1390
53909eef20f70186a0e34e37,-1
53909f2d20f70186a0e37aec,1923
53909f2d20f70186a0e38188,947
53909f2d20f70186a0e3886e,785
53909f6920f70186a0e39cc1,1165
53909f6920f70186a0e3a510,3350
53909f6920f70186a0e3ac7f,1019
53909f6a20f70186a0e3af4a,1384
53909f6a20f70186a0e3afe5,1019
53909f6a20f70186a0e3c000,1393
53909f8220f70186a0e3c46e,-1
53909f8220f70186a0e3c507,-1
53909f8220f70186a0e3c6b4,-1
53909f8220f70186a0e3dca7,-1
53909f8c20f70186a0e3f5f1,1347
53909f8c20f70186a0e4009f,-1
53909f8c20f70186a0e40cbf,-1
53909fbd20f70186a0e42af8,1736
53909fbd20f70186a0e431c0,-1
53909fbd20f70186a0e43832,-1
53909fbd20f70186a0e438b6,1262
53909fbd20f70186a0e4394c,1262
53909fca20f70186a0e44e32,-1
53909fca20f70186a0e45072,-1
53909fca20f70186a0e459a8,-1
53909fca20f70186a0e45a2f,1733
53909fca20f70186a0e45cea,1363
53909fca20f70186a0e45d1d,2443
53909fca20f70186a0e45dd5,387
53909fca20f70186a0e45de4,387
53909fca20f70186a0e4614f,1424
53909fca20f70186a0e46187,799
5390a01420f70186a0e469a4,2110
5390a01420f70186a0e47d44,-1
5390a01420f70186a0e48c25,-1
5390a05920f70186a0e492b1,947
5390a05920f70186a0e49514,348
5390a05a20f70186a0e4b47d,791
5390a06e20f70186a0e4c90b,347
5390a06e20f70186a0e4c916,347
5390a06e20f70186a0e4cf25,-1
5390a06e20f70186a0e4d272,794
5390a06e20f70186a0e4d368,1923
5390a0b720f70186a0e4e96f,-1
5390a0b720f70186a0e4ee60,-1
5390a0b720f70186a0e4f391,-1
5390a0b720f70186a0e4fe16,3029
5390a17720f70186a0e51c41,1371
5390a17720f70186a0e51d52,1736
5390a17720f70186a0e5224d,2092
5390a17720f70186a0e527c0,1728
5390a17720f70186a0e52e0f,-1
5390a17720f70186a0e52e7d,775
5390a1bc20f70186a0e543e9,-1
5390a1bc20f70186a0e54a81,793
5390a1bc20f70186a0e54ad5,2658
5390a1d420f70186a0e570ad,2221
5390a1e620f70186a0e591d5,-1
5390a1e620f70186a0e596dc,1426
5390a1e620f70186a0e5a25f,1324
5390a1e620f70186a0e5a774,-1
5390a1f720f70186a0e5ba2f,-1
5390a1f820f70186a0e5ca11,-1
5390a1f820f70186a0e5deca,799
5390a1f820f70186a0e5df42,795
